               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.027133,            0.017122,           0.0044107,             0.76637,             0.74277,             0.78406,             0.53336,            0.028257,           0.0088404,           0.0050465,           0.0081784,           0.0081784,           0.0081784
                  94,            0.027012,            0.017215,            0.004681,             0.80051,             0.75518,             0.80275,             0.55486,            0.027371,           0.0086927,           0.0055333,           0.0081586,           0.0081586,           0.0081586
                  95,            0.026649,            0.016991,           0.0043709,             0.76458,              0.7721,             0.79091,             0.54186,            0.027356,           0.0088083,           0.0054392,           0.0081388,           0.0081388,           0.0081388
                  96,            0.026772,            0.017238,           0.0045985,             0.77888,             0.74636,             0.79426,             0.53916,            0.027938,           0.0089068,           0.0082032,            0.008119,            0.008119,            0.008119
                  97,             0.02715,            0.016992,           0.0044745,             0.78921,              0.7766,             0.81161,             0.55812,            0.027707,           0.0090749,           0.0074003,           0.0080992,           0.0080992,           0.0080992
                  98,            0.026711,            0.017099,           0.0039187,              0.8262,             0.77183,              0.8189,             0.56029,            0.028028,            0.009215,           0.0062036,           0.0080794,           0.0080794,           0.0080794
                  99,            0.026711,             0.01704,           0.0039353,             0.81136,             0.78449,             0.82455,             0.56042,            0.027345,           0.0085447,           0.0048572,           0.0080596,           0.0080596,           0.0080596
                 100,            0.026753,            0.016449,           0.0041368,               0.791,             0.74718,             0.80183,             0.55584,            0.028077,           0.0088565,           0.0058174,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026713,            0.017004,           0.0042975,             0.83927,             0.78946,             0.83484,             0.56295,            0.027909,           0.0084733,           0.0058824,             0.00802,             0.00802,             0.00802
                 102,            0.026664,            0.016679,           0.0049258,             0.78986,             0.71557,             0.77234,             0.53581,            0.027503,            0.009201,           0.0079701,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026619,            0.016549,           0.0043097,             0.78279,             0.76263,             0.80326,             0.55248,            0.027257,           0.0086166,           0.0049721,           0.0079804,           0.0079804,           0.0079804
                 104,            0.026432,            0.016658,           0.0042946,             0.79688,              0.7669,             0.80019,             0.55975,            0.028478,           0.0085444,           0.0054112,           0.0079606,           0.0079606,           0.0079606
                 105,            0.026533,            0.016929,           0.0038017,             0.80575,             0.77184,             0.81775,             0.55546,            0.027501,           0.0084155,           0.0054138,           0.0079408,           0.0079408,           0.0079408
                 106,            0.026304,            0.016846,           0.0041088,             0.80985,             0.78742,              0.8016,             0.56155,            0.027648,           0.0087916,           0.0059187,            0.007921,            0.007921,            0.007921
                 107,            0.026189,            0.016888,           0.0040172,             0.79347,             0.78285,             0.80778,             0.55971,             0.02775,           0.0084959,           0.0058773,           0.0079012,           0.0079012,           0.0079012
                 108,            0.026456,             0.01664,           0.0040051,             0.83407,             0.77263,             0.83546,             0.57705,            0.026946,           0.0083253,           0.0054356,           0.0078814,           0.0078814,           0.0078814
                 109,            0.026148,            0.016349,           0.0042706,             0.83607,             0.77561,             0.81003,             0.55737,            0.027656,           0.0086762,           0.0079275,           0.0078616,           0.0078616,           0.0078616
                 110,            0.026169,            0.016459,           0.0041693,             0.78273,             0.71295,             0.76922,              0.5278,            0.028153,           0.0093261,           0.0081528,           0.0078418,           0.0078418,           0.0078418
                 111,            0.026321,            0.016447,           0.0040472,             0.80603,             0.74908,             0.80194,             0.55291,            0.028021,           0.0088602,           0.0056129,            0.007822,            0.007822,            0.007822
                 112,            0.025919,            0.016153,            0.004244,                0.84,             0.73413,             0.80192,             0.56393,            0.028114,           0.0091727,           0.0065266,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02582,            0.016795,           0.0037216,             0.80289,             0.79843,             0.82358,             0.57183,            0.028074,            0.008479,           0.0068334,           0.0077824,           0.0077824,           0.0077824
                 114,            0.025754,            0.016282,           0.0037541,             0.85146,             0.74777,             0.81345,             0.56579,            0.028274,           0.0088917,           0.0049909,           0.0077626,           0.0077626,           0.0077626
                 115,            0.025663,            0.016545,           0.0043076,             0.75038,             0.70596,             0.74004,             0.51357,            0.028444,           0.0093331,           0.0078295,           0.0077428,           0.0077428,           0.0077428
                 116,            0.025792,            0.016774,            0.004094,             0.80856,             0.76305,             0.80468,             0.55666,            0.027564,           0.0091985,           0.0065557,            0.007723,            0.007723,            0.007723
                 117,            0.025866,            0.016527,           0.0041301,             0.81872,             0.77473,             0.81165,             0.56784,            0.026668,           0.0087742,           0.0050365,           0.0077032,           0.0077032,           0.0077032
                 118,            0.025807,            0.016435,           0.0040632,             0.78653,              0.7872,             0.81908,             0.57281,             0.02742,           0.0089045,           0.0058497,           0.0076834,           0.0076834,           0.0076834
                 119,            0.025969,            0.016214,           0.0042428,             0.76456,             0.79657,              0.8094,             0.55921,            0.027459,           0.0090461,            0.005189,           0.0076636,           0.0076636,           0.0076636
                 120,            0.025682,            0.016454,           0.0038189,             0.80243,             0.76508,             0.81318,             0.56994,            0.027438,           0.0087104,           0.0053049,           0.0076438,           0.0076438,           0.0076438
                 121,            0.025784,            0.016141,           0.0040645,              0.7818,             0.74692,             0.78502,             0.54428,            0.026996,           0.0090528,           0.0070572,            0.007624,            0.007624,            0.007624
                 122,            0.025234,            0.016214,           0.0038794,             0.78384,             0.77963,             0.80857,             0.55373,            0.028005,           0.0086577,           0.0059465,           0.0076042,           0.0076042,           0.0076042
                 123,            0.025779,            0.015972,           0.0044551,             0.77962,             0.77278,             0.81762,             0.55001,            0.028374,           0.0086985,           0.0050442,           0.0075844,           0.0075844,           0.0075844
                 124,            0.026002,            0.016564,           0.0040849,             0.81743,             0.72201,             0.78864,             0.54228,            0.027522,           0.0088283,           0.0084096,           0.0075646,           0.0075646,           0.0075646
                 125,            0.025579,            0.016301,           0.0040062,             0.79382,             0.74066,             0.79426,             0.54384,            0.028503,            0.009201,           0.0082861,           0.0075448,           0.0075448,           0.0075448
                 126,            0.025594,            0.016191,           0.0039478,             0.78263,             0.77485,             0.81879,             0.56327,            0.026842,           0.0087179,           0.0057731,            0.007525,            0.007525,            0.007525
                 127,            0.025215,            0.016193,            0.004131,             0.75962,             0.76055,             0.78852,             0.54282,            0.027147,           0.0087788,           0.0067202,           0.0075052,           0.0075052,           0.0075052
                 128,            0.026315,            0.016013,           0.0045051,             0.80207,             0.78506,             0.82322,             0.57094,            0.026021,           0.0086676,           0.0049267,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025379,            0.016679,           0.0042251,              0.8047,             0.73032,             0.79716,             0.54637,             0.02899,           0.0090985,           0.0077369,           0.0074656,           0.0074656,           0.0074656
                 130,            0.025564,            0.016382,           0.0037252,             0.77331,             0.79474,             0.80684,             0.55067,            0.028491,           0.0085213,           0.0068314,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025348,            0.016301,           0.0035889,             0.81351,             0.77857,             0.82205,              0.5767,              0.0283,           0.0087901,           0.0051316,            0.007426,            0.007426,            0.007426
                 132,            0.025392,            0.015831,            0.003859,             0.76635,             0.73928,             0.76404,             0.51663,             0.02871,           0.0095215,           0.0061618,           0.0074062,           0.0074062,           0.0074062
                 133,             0.02508,            0.016071,             0.00375,              0.8067,             0.76414,             0.82233,             0.57213,            0.027768,           0.0087591,           0.0073609,           0.0073864,           0.0073864,           0.0073864
